"","gender_partner","gender_rater","age_rater","age_partner","attractive_partner","intelligence_partner","like_partner","age_diff","partner_older","matched","exp_num_match"
"116","F","M",22,23,6,10,7,1,TRUE,FALSE,3
"117","F","M",22,22,7,10,8,0,FALSE,FALSE,3
"118","F","M",22,25,8,10,9,3,TRUE,TRUE,3
"119","F","M",22,26,8,10,8,4,TRUE,TRUE,3
"120","F","M",22,26,1,1,1,4,TRUE,FALSE,3
"151","F","M",25,21,7,8,7,-4,FALSE,FALSE,3
"152","F","M",25,24,7,7,7,-1,FALSE,FALSE,3
"153","F","M",25,25,7,6,6,0,FALSE,FALSE,3
"154","F","M",25,23,6,7,6,-2,FALSE,FALSE,3
"155","F","M",25,21,5,7,6,-4,FALSE,FALSE,3
"156","F","M",25,23,6,8,6,-2,FALSE,FALSE,3
"157","F","M",25,22,8,8,7,-3,FALSE,FALSE,3
"158","F","M",25,25,8,7,7,0,FALSE,TRUE,3
"159","F","M",25,26,6,7,6,1,TRUE,TRUE,3
"161","F","M",30,21,3,7,2,-9,FALSE,FALSE,1
"162","F","M",30,24,5,4,4,-6,FALSE,FALSE,1
"163","F","M",30,25,6,5,2,-5,FALSE,FALSE,1
"164","F","M",30,23,7,3,6,-7,FALSE,FALSE,1
"165","F","M",30,21,2,4,3,-9,FALSE,FALSE,1
"166","F","M",30,23,5,8,3,-7,FALSE,FALSE,1
"167","F","M",30,22,7,5,5,-8,FALSE,FALSE,1
"168","F","M",30,25,6,7,4,-5,FALSE,FALSE,1
"169","F","M",30,26,8,7,8,-4,FALSE,TRUE,1
"170","F","M",30,26,7,4,3,-4,FALSE,FALSE,1
"171","F","M",27,21,6,5,7,-6,FALSE,FALSE,2
"172","F","M",27,24,7,7,7,-3,FALSE,FALSE,2
"173","F","M",27,25,4,6,5,-2,FALSE,FALSE,2
"174","F","M",27,23,6,8,7,-4,FALSE,FALSE,2
"175","F","M",27,21,5,6,6,-6,FALSE,FALSE,2
"176","F","M",27,23,6,8,7,-4,FALSE,FALSE,2
"177","F","M",27,22,8,6,7,-5,FALSE,FALSE,2
"178","F","M",27,25,9,8,7,-2,FALSE,TRUE,2
"179","F","M",27,26,7,7,7,-1,FALSE,FALSE,2
"180","F","M",27,26,6,6,7,-1,FALSE,FALSE,2
"191","F","M",24,21,6,6,6,-3,FALSE,FALSE,1
"192","F","M",24,24,6,7,6,0,FALSE,FALSE,1
"193","F","M",24,25,5,8,5,1,TRUE,FALSE,1
"194","F","M",24,23,7,8,7,-1,FALSE,FALSE,1
"195","F","M",24,21,3,7,4,-3,FALSE,FALSE,1
"196","F","M",24,23,7,10,6,-1,FALSE,FALSE,1
"197","F","M",24,22,7,8,7,-2,FALSE,FALSE,1
"198","F","M",24,25,8,9,8,1,TRUE,TRUE,1
"199","F","M",24,26,5,6,6,2,TRUE,FALSE,1
"200","F","M",24,26,6,6,7,2,TRUE,FALSE,1
"201","M","F",21,25,6,7,9,4,TRUE,FALSE,0
"202","M","F",21,30,5,7,7,9,TRUE,FALSE,0
"203","M","F",21,23,8,8,9,2,TRUE,FALSE,0
"204","M","F",21,24,5,8,6,3,TRUE,FALSE,0
"205","M","F",21,24,7,8,6,3,TRUE,FALSE,0
"206","M","F",21,28,6,8,5,7,TRUE,FALSE,0
"207","M","F",21,26,6,8,8,5,TRUE,FALSE,0
"208","M","F",21,30,4,7,5,9,TRUE,FALSE,0
"209","M","F",21,22,7,7,6,1,TRUE,FALSE,0
"210","M","F",21,25,9,10,9,4,TRUE,FALSE,0
"211","M","F",21,27,5,7,6,6,TRUE,FALSE,0
"212","M","F",21,23,7,6,2,2,TRUE,FALSE,0
"213","M","F",21,21,5,8,6,0,FALSE,FALSE,0
"214","M","F",21,28,6,7,6,7,TRUE,FALSE,0
"215","M","F",21,28,6,7,6,7,TRUE,FALSE,0
"216","M","F",21,23,5,9,8,2,TRUE,FALSE,0
"217","M","F",27,25,5,7,6,-2,FALSE,FALSE,2
"218","M","F",27,30,4,6,3,3,TRUE,FALSE,2
"219","M","F",27,23,5,6,3,-4,FALSE,FALSE,2
"220","M","F",27,24,5,7,4,-3,FALSE,FALSE,2
"221","M","F",27,24,6,8,6,-3,FALSE,TRUE,2
"222","M","F",27,28,6,7,6,1,TRUE,TRUE,2
"223","M","F",27,26,8,7,7,-1,FALSE,FALSE,2
"224","M","F",27,30,5,7,5,3,TRUE,FALSE,2
"225","M","F",27,22,7,7,7,-5,FALSE,FALSE,2
"226","M","F",27,25,6,7,5,-2,FALSE,FALSE,2
"227","M","F",27,27,5,7,6,0,FALSE,FALSE,2
"228","M","F",27,23,3,5,2,-4,FALSE,FALSE,2
"229","M","F",27,21,3,7,2,-6,FALSE,FALSE,2
"230","M","F",27,28,7,8,8,1,TRUE,FALSE,2
"231","M","F",27,28,4,5,4,1,TRUE,FALSE,2
"232","M","F",27,23,6,7,7,-4,FALSE,FALSE,2
"233","M","F",21,25,5,6,8,4,TRUE,FALSE,3
"234","M","F",21,30,5,7,7,9,TRUE,FALSE,3
"235","M","F",21,23,6,7,6.5,2,TRUE,FALSE,3
"236","M","F",21,24,5,8,7,3,TRUE,TRUE,3
"237","M","F",21,24,7,7,9,3,TRUE,TRUE,3
"238","M","F",21,28,6,7,7,7,TRUE,TRUE,3
"239","M","F",21,26,7,7,7,5,TRUE,FALSE,3
"240","M","F",21,30,5,7,6,9,TRUE,FALSE,3
"241","M","F",21,22,6,6,6,1,TRUE,FALSE,3
"242","M","F",21,25,7,6,8,4,TRUE,FALSE,3
"243","M","F",21,27,6,7,7,6,TRUE,FALSE,3
"244","M","F",21,23,7,5,6,2,TRUE,FALSE,3
"245","M","F",21,21,6,5,6,0,FALSE,FALSE,3
"247","M","F",21,28,6,6,6,7,TRUE,FALSE,3
"248","M","F",21,23,6,7,6,2,TRUE,FALSE,3
"249","M","F",27,25,5,7,6,-2,FALSE,FALSE,1
"252","M","F",27,24,7,8,7,-3,FALSE,FALSE,1
"253","M","F",27,24,5,8,7,-3,FALSE,FALSE,1
"254","M","F",27,28,7,8,8,1,TRUE,FALSE,1
"255","M","F",27,26,9,7,8,-1,FALSE,FALSE,1
"256","M","F",27,30,5,7,7,3,TRUE,FALSE,1
"257","M","F",27,22,7,7,7,-5,FALSE,FALSE,1
"260","M","F",27,23,6,8,7,-4,FALSE,FALSE,1
"264","M","F",27,23,8,7,6,-4,FALSE,FALSE,1
"265","M","F",25,25,7,9,6,0,FALSE,FALSE,0
"266","M","F",25,30,5,8,7,5,TRUE,FALSE,0
"267","M","F",25,23,6,8,7,-2,FALSE,FALSE,0
"268","M","F",25,24,4,10,4,-1,FALSE,FALSE,0
"269","M","F",25,24,6,9,5,-1,FALSE,FALSE,0
"270","M","F",25,28,6,7,7,3,TRUE,FALSE,0
"271","M","F",25,26,7,8,8,1,TRUE,FALSE,0
"272","M","F",25,30,3,9,8,5,TRUE,FALSE,0
"273","M","F",25,22,7,8,7,-3,FALSE,FALSE,0
"274","M","F",25,25,8,9,9,0,FALSE,FALSE,0
"275","M","F",25,27,9,9,8,2,TRUE,FALSE,0
"276","M","F",25,23,6,8,6,-2,FALSE,FALSE,0
"277","M","F",25,21,5,7,5,-4,FALSE,FALSE,0
"278","M","F",25,28,7,9,7,3,TRUE,FALSE,0
"279","M","F",25,28,5,8,6,3,TRUE,FALSE,0
"280","M","F",25,23,7,7,7,-2,FALSE,FALSE,0
"281","M","F",23,25,2,5,2,2,TRUE,FALSE,0
"282","M","F",23,30,2,5,2,7,TRUE,FALSE,0
"283","M","F",23,23,2,5,3,0,FALSE,FALSE,0
"284","M","F",23,24,2,7,2,1,TRUE,FALSE,0
"285","M","F",23,24,3,7,5,1,TRUE,FALSE,0
"286","M","F",23,28,4,6,2,5,TRUE,FALSE,0
"287","M","F",23,26,7,5,6,3,TRUE,FALSE,0
"288","M","F",23,30,3,6,2,7,TRUE,FALSE,0
"289","M","F",23,22,6,5,4,-1,FALSE,FALSE,0
"290","M","F",23,25,5,8,5,2,TRUE,FALSE,0
"291","M","F",23,27,7,6,8,4,TRUE,FALSE,0
"292","M","F",23,23,6,6,6,0,FALSE,FALSE,0
"293","M","F",23,21,2,6,5,-2,FALSE,FALSE,0
"294","M","F",23,28,6,8,6,5,TRUE,FALSE,0
"295","M","F",23,28,2,7,3,5,TRUE,FALSE,0
"296","M","F",23,23,6,6,6,0,FALSE,FALSE,0
"297","M","F",22,25,2,6,3,3,TRUE,FALSE,1
"298","M","F",22,30,1,4,2,8,TRUE,FALSE,1
"299","M","F",22,23,1,6,2,1,TRUE,FALSE,1
"300","M","F",22,24,1,7,2,2,TRUE,FALSE,1
"301","M","F",22,24,1,4,1,2,TRUE,FALSE,1
"302","M","F",22,28,3,6,1,6,TRUE,FALSE,1
"303","M","F",22,26,8,6,6,4,TRUE,TRUE,1
"304","M","F",22,30,1,5,3,8,TRUE,FALSE,1
"305","M","F",22,22,4,4,3,0,FALSE,FALSE,1
"306","M","F",22,25,4,4,2,3,TRUE,FALSE,1
"307","M","F",22,27,6,6,4,5,TRUE,TRUE,1
"308","M","F",22,23,1,6,2,1,TRUE,FALSE,1
"309","M","F",22,21,1,7,1,-1,FALSE,FALSE,1
"310","M","F",22,28,6,8,3,6,TRUE,FALSE,1
"311","M","F",22,28,2,7,1,6,TRUE,FALSE,1
"312","M","F",22,23,5,6,4,1,TRUE,FALSE,1
"313","M","F",26,25,3,6,2,-1,FALSE,FALSE,3
"314","M","F",26,30,2,5,2,4,TRUE,FALSE,3
"315","M","F",26,23,3,8,3,-3,FALSE,FALSE,3
"316","M","F",26,24,4,5,3,-2,FALSE,FALSE,3
"317","M","F",26,24,4,7,2,-2,FALSE,FALSE,3
"318","M","F",26,28,4,5,3,2,TRUE,FALSE,3
"319","M","F",26,26,7,8,7.5,0,FALSE,TRUE,3
"320","M","F",26,30,4,6,2,4,TRUE,FALSE,3
"321","M","F",26,22,6,5,4,-4,FALSE,FALSE,3
"322","M","F",26,25,3,7,4,-1,FALSE,FALSE,3
"323","M","F",26,27,5,9,3,1,TRUE,FALSE,3
"324","M","F",26,23,5,6,4.5,-3,FALSE,FALSE,3
"326","M","F",26,28,6,7,8,2,TRUE,FALSE,3
"327","M","F",26,28,4,6.5,4,2,TRUE,FALSE,3
"328","M","F",26,23,4,6,4,-3,FALSE,FALSE,3
"329","M","F",22,25,4,4,5,3,TRUE,FALSE,3
"330","M","F",22,30,4,6,4,8,TRUE,FALSE,3
"331","M","F",22,23,6,7,6,1,TRUE,FALSE,3
"332","M","F",22,24,5,5,5,2,TRUE,FALSE,3
"333","M","F",22,24,8,7,6,2,TRUE,TRUE,3
"334","M","F",22,28,6,7,6,6,TRUE,TRUE,3
"335","M","F",22,26,8,6,7,4,TRUE,FALSE,3
"336","M","F",22,30,5,6,6,8,TRUE,FALSE,3
"337","M","F",22,22,8,8,8,0,FALSE,FALSE,3
"338","M","F",22,25,7,6,5,3,TRUE,FALSE,3
"339","M","F",22,27,7,7,7,5,TRUE,FALSE,3
"340","M","F",22,23,6,7,6,1,TRUE,FALSE,3
"341","M","F",22,21,6,8,8,-1,FALSE,FALSE,3
"342","M","F",22,28,9,8,8,6,TRUE,FALSE,3
"343","M","F",22,28,6,6,6,6,TRUE,FALSE,3
"344","M","F",22,23,6,7,6,1,TRUE,FALSE,3
"345","M","F",23,25,3,6,6,2,TRUE,FALSE,1
"346","M","F",23,30,8,8,8,7,TRUE,FALSE,1
"347","M","F",23,23,6,8,8,0,FALSE,FALSE,1
"348","M","F",23,24,4,6,6,1,TRUE,FALSE,1
"349","M","F",23,24,6,7,7,1,TRUE,FALSE,1
"350","M","F",23,28,4,5,4,5,TRUE,FALSE,1
"351","M","F",23,26,8,7,7,3,TRUE,FALSE,1
"352","M","F",23,30,5,5,8,7,TRUE,FALSE,1
"353","M","F",23,22,7,5,8,-1,FALSE,FALSE,1
"354","M","F",23,25,8,7,9,2,TRUE,TRUE,1
"355","M","F",23,27,7,8,8,4,TRUE,FALSE,1
"356","M","F",23,23,5,5,4,0,FALSE,FALSE,1
"357","M","F",23,21,3,8,7,-2,FALSE,FALSE,1
"358","M","F",23,28,7,8,9,5,TRUE,FALSE,1
"359","M","F",23,28,3,8,6,5,TRUE,FALSE,1
"360","M","F",23,23,7,8,8,0,FALSE,TRUE,1
"361","M","F",24,25,4,6,5,1,TRUE,FALSE,3
"363","M","F",24,23,4,6,5,-1,FALSE,FALSE,3
"364","M","F",24,24,4,6,5,0,FALSE,FALSE,3
"365","M","F",24,24,4,7,5,0,FALSE,FALSE,3
"366","M","F",24,28,4,7,5,4,TRUE,FALSE,3
"367","M","F",24,26,9,7,7,2,TRUE,FALSE,3
"368","M","F",24,30,2,4,4,6,TRUE,FALSE,3
"369","M","F",24,22,8,8,8,-2,FALSE,TRUE,3
"370","M","F",24,25,7,8,7,1,TRUE,TRUE,3
"371","M","F",24,27,9,8,9,3,TRUE,TRUE,3
"372","M","F",24,23,4,5,5,-1,FALSE,FALSE,3
"373","M","F",24,21,3,8,6,-3,FALSE,FALSE,3
"374","M","F",24,28,7,7,6.5,4,TRUE,FALSE,3
"375","M","F",24,28,4,6,5,4,TRUE,FALSE,3
"376","M","F",24,23,9,7,8.5,-1,FALSE,TRUE,3
"377","M","F",27,25,4,7,5,-2,FALSE,FALSE,0
"378","M","F",27,30,7,9,7,3,TRUE,FALSE,0
"379","M","F",27,23,5,6,6,-4,FALSE,FALSE,0
"380","M","F",27,24,5,7,5,-3,FALSE,FALSE,0
"381","M","F",27,24,5,9,6,-3,FALSE,FALSE,0
"382","M","F",27,28,8,9,8,1,TRUE,FALSE,0
"383","M","F",27,26,8,8,8,-1,FALSE,FALSE,0
"384","M","F",27,30,7,8,6,3,TRUE,FALSE,0
"385","M","F",27,22,7,7,7,-5,FALSE,FALSE,0
"386","M","F",27,25,6,9,7,-2,FALSE,FALSE,0
"387","M","F",27,27,7,8,6,0,FALSE,FALSE,0
"388","M","F",27,23,5,7,5,-4,FALSE,FALSE,0
"389","M","F",27,21,4,6,5,-6,FALSE,FALSE,0
"390","M","F",27,28,7,9,7,1,TRUE,FALSE,0
"391","M","F",27,28,7,9,7,1,TRUE,FALSE,0
"392","M","F",27,23,8,7,7,-4,FALSE,FALSE,0
"393","M","F",30,25,6,7,8,-5,FALSE,FALSE,1
"394","M","F",30,30,2,7,5,0,FALSE,FALSE,1
"395","M","F",30,23,6,6,5,-7,FALSE,FALSE,1
"396","M","F",30,24,5,7,6,-6,FALSE,FALSE,1
"397","M","F",30,24,5,6,4,-6,FALSE,FALSE,1
"398","M","F",30,28,6,7,5,-2,FALSE,FALSE,1
"399","M","F",30,26,8,9,6,-4,FALSE,FALSE,1
"400","M","F",30,30,4,6,6,0,FALSE,FALSE,1
"401","M","F",30,22,8,6,7,-8,FALSE,FALSE,1
"402","M","F",30,25,6,8,7,-5,FALSE,FALSE,1
"403","M","F",30,27,7,7,7,-3,FALSE,FALSE,1
"404","M","F",30,23,7,9,3,-7,FALSE,FALSE,1
"405","M","F",30,21,9,8,8,-9,FALSE,FALSE,1
"406","M","F",30,28,8,5,6,-2,FALSE,FALSE,1
"407","M","F",30,28,5,5,5,-2,FALSE,FALSE,1
"408","M","F",30,23,7,6,5,-7,FALSE,FALSE,1
"409","M","F",21,25,4,5,5,4,TRUE,FALSE,2
"410","M","F",21,30,3,7,5,9,TRUE,FALSE,2
"411","M","F",21,23,5,5,5,2,TRUE,FALSE,2
"412","M","F",21,24,4,6,5,3,TRUE,FALSE,2
"413","M","F",21,24,4,5,5,3,TRUE,FALSE,2
"414","M","F",21,28,4,6,5,7,TRUE,FALSE,2
"415","M","F",21,26,9,9,8,5,TRUE,TRUE,2
"416","M","F",21,30,3,5,5,9,TRUE,FALSE,2
"417","M","F",21,22,5,3,4,1,TRUE,FALSE,2
"418","M","F",21,25,7,8,7,4,TRUE,TRUE,2
"419","M","F",21,27,4,6,5,6,TRUE,FALSE,2
"420","M","F",21,23,3,4,3,2,TRUE,FALSE,2
"421","M","F",21,21,4,5,4,0,FALSE,FALSE,2
"422","M","F",21,28,5,6,5,7,TRUE,FALSE,2
"423","M","F",21,28,4,6,5,7,TRUE,FALSE,2
"424","M","F",21,23,4,5,5,2,TRUE,FALSE,2
"425","M","F",25,25,6,9,7,0,FALSE,FALSE,10
"426","M","F",25,30,5,8,6,5,TRUE,FALSE,10
"427","M","F",25,23,6,9,8,-2,FALSE,FALSE,10
"428","M","F",25,24,6,8,8,-1,FALSE,FALSE,10
"429","M","F",25,24,5,7,6,-1,FALSE,FALSE,10
"430","M","F",25,28,7,9,8,3,TRUE,TRUE,10
"431","M","F",25,26,8,9,8,1,TRUE,TRUE,10
"432","M","F",25,30,5,8,6,5,TRUE,FALSE,10
"433","M","F",25,22,8,7,7,-3,FALSE,FALSE,10
"434","M","F",25,25,7,9,8,0,FALSE,TRUE,10
"435","M","F",25,27,6,8,8,2,TRUE,TRUE,10
"436","M","F",25,23,8,6,7,-2,FALSE,FALSE,10
"437","M","F",25,21,6,10,7,-4,FALSE,FALSE,10
"438","M","F",25,28,8,8,8,3,TRUE,TRUE,10
"439","M","F",25,28,6,8,7,3,TRUE,FALSE,10
"440","M","F",25,23,6,8,8,-2,FALSE,FALSE,10
"441","M","F",26,25,2,2,2,-1,FALSE,FALSE,0
"442","M","F",26,30,1,2,2,4,TRUE,FALSE,0
"443","M","F",26,23,2,4,2,-3,FALSE,FALSE,0
"444","M","F",26,24,1,1,1,-2,FALSE,FALSE,0
"445","M","F",26,24,1,1,1,-2,FALSE,FALSE,0
"446","M","F",26,28,2,5,3,2,TRUE,FALSE,0
"447","M","F",26,26,2,4,3,0,FALSE,FALSE,0
"448","M","F",26,30,1,5,1,4,TRUE,FALSE,0
"449","M","F",26,22,3,2,2,-4,FALSE,FALSE,0
"450","M","F",26,25,4,8,8,-1,FALSE,TRUE,0
"451","M","F",26,27,5,8,5,1,TRUE,FALSE,0
"452","M","F",26,23,5,6,5,-3,FALSE,TRUE,0
"453","M","F",26,21,1,5,3,-5,FALSE,FALSE,0
"454","M","F",26,28,9,8,7,2,TRUE,FALSE,0
"455","M","F",26,28,3,6,4,2,TRUE,FALSE,0
"456","M","F",26,23,5,8,5,-3,FALSE,FALSE,0
"457","M","F",27,25,2,5,3,-2,FALSE,FALSE,6
"458","M","F",27,30,2,6,3,3,TRUE,FALSE,6
"459","M","F",27,23,4,6,4,-4,FALSE,FALSE,6
"460","M","F",27,24,4,8,3,-3,FALSE,FALSE,6
"461","M","F",27,24,7,8,7,-3,FALSE,TRUE,6
"462","M","F",27,28,6,7,4,1,TRUE,FALSE,6
"463","M","F",27,26,8,9,6,-1,FALSE,FALSE,6
"464","M","F",27,30,3,7,5,3,TRUE,FALSE,6
"465","M","F",27,22,8,6,7,-5,FALSE,FALSE,6
"466","M","F",27,25,6,5,3,-2,FALSE,FALSE,6
"467","M","F",27,27,6,6,5,0,FALSE,FALSE,6
"468","M","F",27,23,7,7,6,-4,FALSE,FALSE,6
"469","M","F",27,21,2,6,5,-6,FALSE,TRUE,6
"470","M","F",27,28,7,7,6,1,TRUE,FALSE,6
"471","M","F",27,28,4,4,3,1,TRUE,FALSE,6
"472","M","F",27,23,5,6,4,-4,FALSE,FALSE,6
"473","M","F",23,25,2,10,5,2,TRUE,FALSE,3
"474","M","F",23,30,1,10,1,7,TRUE,FALSE,3
"475","M","F",23,23,8,10,8,0,FALSE,FALSE,3
"476","M","F",23,24,3,10,5,1,TRUE,FALSE,3
"477","M","F",23,24,5,7,5,1,TRUE,FALSE,3
"478","M","F",23,28,6,8,4,5,TRUE,FALSE,3
"479","M","F",23,26,10,6,6,3,TRUE,FALSE,3
"480","M","F",23,30,7,7,8,7,TRUE,FALSE,3
"481","M","F",23,22,8,5,8,-1,FALSE,FALSE,3
"482","M","F",23,25,9,9,7,2,TRUE,TRUE,3
"483","M","F",23,27,8,8,7,4,TRUE,TRUE,3
"484","M","F",23,23,8,9,7,0,FALSE,FALSE,3
"485","M","F",23,21,2,9,6,-2,FALSE,FALSE,3
"486","M","F",23,28,3,9,2,5,TRUE,FALSE,3
"487","M","F",23,28,3,9,5,5,TRUE,FALSE,3
"488","M","F",23,23,8,8,9,0,FALSE,TRUE,3
"489","M","F",24,25,6,9,7,1,TRUE,FALSE,3
"490","M","F",24,30,3,9,5,6,TRUE,FALSE,3
"491","M","F",24,23,5,9,6.5,-1,FALSE,FALSE,3
"492","M","F",24,24,7,8,8,0,FALSE,FALSE,3
"493","M","F",24,24,4,7,2,0,FALSE,FALSE,3
"494","M","F",24,28,4,7,5,4,TRUE,FALSE,3
"495","M","F",24,26,8,9,5,2,TRUE,FALSE,3
"496","M","F",24,30,5,8,7,6,TRUE,TRUE,3
"497","M","F",24,22,8,6,7,-2,FALSE,FALSE,3
"498","M","F",24,25,5,7,6,1,TRUE,FALSE,3
"499","M","F",24,27,5,8,7,3,TRUE,FALSE,3
"500","M","F",24,23,3,8,1,-1,FALSE,FALSE,3
"501","M","F",24,21,3,9,6,-3,FALSE,FALSE,3
"502","M","F",24,28,8,9,7,4,TRUE,FALSE,3
"503","M","F",24,28,4,8,5,4,TRUE,FALSE,3
"504","M","F",24,23,6,8,7,-1,FALSE,FALSE,3
"505","F","M",25,21,3,10,4,-4,FALSE,FALSE,0
"506","F","M",25,27,4,8,3,2,TRUE,FALSE,0
"507","F","M",25,21,5,3,1,-4,FALSE,FALSE,0
"508","F","M",25,27,5,9,2,2,TRUE,FALSE,0
"509","F","M",25,25,8,9,3,0,FALSE,FALSE,0
"510","F","M",25,23,8,9,3,-2,FALSE,FALSE,0
"511","F","M",25,22,9,6,5,-3,FALSE,FALSE,0
"512","F","M",25,26,8,7,6,1,TRUE,FALSE,0
"513","F","M",25,22,5,3,1,-3,FALSE,FALSE,0
"514","F","M",25,23,6,8,2,-2,FALSE,FALSE,0
"515","F","M",25,24,7,4,2,-1,FALSE,FALSE,0
"516","F","M",25,27,8,10,5,2,TRUE,FALSE,0
"517","F","M",25,30,6,10,6,5,TRUE,FALSE,0
"518","F","M",25,21,8,6,5,-4,FALSE,FALSE,0
"519","F","M",25,25,5,6,3,0,FALSE,FALSE,0
"520","F","M",25,26,5,9,3,1,TRUE,FALSE,0
"521","F","M",25,27,4,8,1,2,TRUE,FALSE,0
"522","F","M",25,23,8,10,3,-2,FALSE,FALSE,0
"523","F","M",25,24,3,9,3,-1,FALSE,FALSE,0
"543","F","M",23,21,3,9,6,-2,FALSE,FALSE,1
"544","F","M",23,27,3,8,2,4,TRUE,FALSE,1
"545","F","M",23,21,6,9,8,-2,FALSE,FALSE,1
"546","F","M",23,27,7,7,3,4,TRUE,FALSE,1
"547","F","M",23,25,8,7,8,2,TRUE,FALSE,1
"548","F","M",23,23,7,8,7,0,FALSE,FALSE,1
"549","F","M",23,22,8,8,9,-1,FALSE,FALSE,1
"550","F","M",23,26,7,9,8,3,TRUE,FALSE,1
"551","F","M",23,22,3,7,4,-1,FALSE,FALSE,1
